"","allDates","year","julianWeek","windMPH","RelativeHumidity","tempF","precip_cm","rainDay","afterRain"
"1","2026-06-29",2026,27,NA,NA,NA,NA,FALSE,FALSE
"2","2026-06-22",2026,26,NA,NA,NA,NA,FALSE,TRUE
"3","2026-06-17",2026,25,5.1065714980819,85.0528623058484,78.6497509765616,0,FALSE,TRUE
"4","2026-06-12",2026,24,5.14518466907201,85.2960453439297,87.1179577636712,0.000931819249672117,TRUE,FALSE
"5","2026-06-03",2026,23,4.01121649393311,82.7051077108098,66.5498486328116,0,FALSE,TRUE
"6","2026-05-29",2026,22,1.3845365200613,87.5605000034673,72.1490307617192,0,FALSE,TRUE
"7","2026-05-19",2026,21,6.7091651851882,85.1721265586599,80.5021008300789,0.000139077508265473,TRUE,FALSE
"8","2026-05-15",2026,20,4.34821820789036,81.8992660538598,60.8149853515616,0,FALSE,TRUE
"9","2026-04-29",2026,18,4.75337802861202,95.4482535128249,64.2558483886712,0.0177840396645479,TRUE,FALSE
"10","2026-04-21",2026,17,2.1181710532614,79.6696649463006,53.2908337402346,0,FALSE,TRUE
"11","2026-04-18",2026,16,5.12177666536152,82.4601210909221,73.96583984375,0,FALSE,TRUE
"12","2026-04-06",2026,15,4.19948153593094,82.9570995666839,54.6490734863289,0,FALSE,TRUE
"13","2026-04-04",2026,14,8.35512997800498,90.344908328276,71.8102673339846,0.000460942601421266,TRUE,FALSE
"14","2026-03-23",2026,13,7.80254727840509,82.573776258207,68.9555798339846,0,FALSE,TRUE
"15","2026-03-17",2026,12,9.12083591930758,82.445924711209,37.2688122558596,0,FALSE,TRUE
"16","2026-03-15",2026,11,7.39105685849658,90.6596142946868,59.4130749511712,0.00706911087036133,TRUE,FALSE
"17","2026-02-24",2026,9,6.2442749535578,84.6351623653167,32.6828991699212,0,FALSE,TRUE
"18","2026-02-17",2026,8,6.58141493623767,93.1148435058762,48.0604077148442,0,FALSE,TRUE
"19","2026-02-12",2026,7,7.19258245155866,79.8056110647156,43.7356945800789,0,FALSE,TRUE
"20","2026-02-07",2026,6,12.348268749292,77.6837526565437,33.9892834472655,0,FALSE,TRUE
"21","2026-01-27",2026,5,6.93764789510906,81.5480119897012,25.2989880371096,0,FALSE,TRUE
"22","2026-01-23",2026,4,3.55000990912561,85.6056613819116,42.6644177246096,0,FALSE,TRUE
"23","2026-01-16",2026,3,5.34080783346259,80.4756080617746,30.23146484375,0,FALSE,TRUE
"24","2025-06-30",2025,27,4.95671561378355,90.5579119464476,82.9847912597655,0.00330607108480763,TRUE,FALSE
"25","2025-06-24",2025,26,1.65835063576004,86.1191715324458,88.6641735839846,0.000228484464059875,TRUE,FALSE
"26","2025-06-20",2025,25,1.1279125427265,86.0604769186668,78.1634411621096,0,FALSE,TRUE
"27","2025-06-14",2025,24,5.88416494613429,93.8811444808404,78.5172009277346,0.0236451625823975,TRUE,FALSE
"28","2025-06-02",2025,23,3.25444822587185,87.1367313031237,65.9056103515616,0,FALSE,TRUE
"29","2025-05-30",2025,22,6.89701103870096,94.724245313012,69.1438854980462,0.052720308303833,TRUE,FALSE
"30","2025-05-22",2025,21,8.07117991828685,81.6090492694429,71.2473828125,0,FALSE,TRUE
"31","2025-05-16",2025,20,4.29369490042781,92.6421289865992,77.0219616699212,0,FALSE,TRUE
"32","2025-04-30",2025,18,5.81137083678367,89.8215356159788,74.3804089355462,0.00527501106262207,TRUE,FALSE
"33","2025-04-21",2025,17,7.30601793166261,87.1393368223869,73.0284313964846,0,FALSE,TRUE
"34","2025-04-16",2025,16,7.27621896194524,79.4915106267168,57.0796887207039,0,FALSE,TRUE
"35","2025-04-13",2025,15,4.57319525690721,85.4216713590788,51.8255871582039,0,FALSE,TRUE
"36","2025-04-04",2025,14,7.74041733133449,88.4518993360196,76.9350598144539,0.000141064322178863,TRUE,FALSE
"37","2025-03-26",2025,13,7.51321418631051,80.0655059323704,52.973603515625,0,FALSE,TRUE
"38","2025-03-18",2025,12,3.13253502482269,79.3871496491356,53.3864697265616,0,FALSE,TRUE
"39","2025-03-16",2025,11,12.2580162049909,95.4530798324086,67.3881604003905,0.0502864539157599,TRUE,FALSE
"40","2025-02-28",2025,9,5.67932361425265,80.6664010294131,53.2001416015616,0,FALSE,TRUE
"41","2025-02-17",2025,8,8.10853967233644,84.4219207028615,37.9915478515616,0,FALSE,TRUE
"42","2025-02-14",2025,7,4.37647658612088,85.6001739479781,38.8846813964846,0,FALSE,TRUE
"43","2025-02-03",2025,6,5.68150997520963,92.7335838901752,50.3587475585942,0,FALSE,TRUE
"44","2025-01-29",2025,5,9.31533178413303,80.0896009031267,52.2694348144539,0,FALSE,TRUE
"45","2025-01-25",2025,4,2.41008158546812,87.43668604,33.7286328125,0,FALSE,TRUE
"46","2025-01-15",2025,3,4.97071714946452,81.4778736829667,32.0088330078116,0,FALSE,TRUE
"47","2024-06-28",2024,26,4.86617477733556,87.427519656368,81.2068737792962,0,FALSE,TRUE
"48","2024-06-21",2024,25,3.38169522637954,88.0888226330217,78.0673107910155,0,FALSE,TRUE
"49","2024-06-15",2024,24,4.50263647648848,86.1428921425036,79.9591015625,0.000121196114832856,TRUE,FALSE
"50","2024-06-08",2024,23,3.05787111907292,83.7529514356907,73.8432873535155,0,FALSE,TRUE
"51","2024-05-29",2024,22,5.12678457312515,86.3056393325447,71.4552990722655,0,FALSE,TRUE
